"dog_id" "context_id" "day_since_arrival" "behaviour_code_name" "behaviour_code_number" "behaviour_code_colour"
2 8 7 "[RE] Relaxed" 1 1
2 1 8 NA NA NA
2 2 8 NA NA NA
2 3 8 NA NA NA
2 4 8 NA NA NA
2 5 8 NA NA NA
2 6 8 NA NA NA
2 7 8 NA NA NA
2 8 8 NA NA NA
2 1 9 NA NA NA
2 2 9 NA NA NA
2 3 9 NA NA NA
2 4 9 NA NA NA
2 5 9 NA NA NA
2 6 9 NA NA NA
2 7 9 NA NA NA
2 8 9 NA NA NA
2 1 10 NA NA NA
2 2 10 NA NA NA
2 3 10 NA NA NA
2 4 10 NA NA NA
2 5 10 NA NA NA
2 6 10 NA NA NA
2 7 10 NA NA NA
2 8 10 NA NA NA
2 1 11 NA NA NA
2 2 11 NA NA NA
2 3 11 NA NA NA
2 4 11 NA NA NA
2 5 11 NA NA NA
2 6 11 NA NA NA
2 7 11 NA NA NA
2 8 11 NA NA NA
2 1 12 NA NA NA
2 2 12 NA NA NA
2 3 12 "[EX] Excitable" 2 1
2 4 12 NA NA NA
2 5 12 "[ST] Stressed" 4 1
2 6 12 "[EX] Excitable" 2 1
2 7 12 "[PL] Playful" 2 1
2 8 12 "[RE] Relaxed" 1 1
2 1 13 NA NA NA
2 2 13 NA NA NA
2 3 13 NA NA NA
2 4 13 NA NA NA
2 5 13 NA NA NA
2 6 13 NA NA NA
2 7 13 NA NA NA
2 8 13 NA NA NA
2 1 14 "[PL] Playful" 13 2
2 2 14 NA NA NA
2 3 14 "[EX] Excitable" 2 1
2 4 14 NA NA NA
2 5 14 "[ST] Stressed" 4 1
2 6 14 "[RE] Relaxed" 1 1
2 7 14 "[PL] Playful" 2 1
2 8 14 "[RE] Relaxed" 1 1
2 1 15 NA NA NA
2 2 15 NA NA NA
2 3 15 "[FR] Friendly" 1 1
2 4 15 "[RE] Relaxed" 1 1
2 5 15 "[RE] Relaxed" 1 1
2 6 15 "[RE] Relaxed" 1 1
2 7 15 NA NA NA
2 8 15 "[RE] Relaxed" 1 1
2 1 16 NA NA NA
2 2 16 "[FR] Friendly" 1 1
2 3 16 "[FR] Friendly" 1 1
2 4 16 "[RE] Relaxed" 1 1
2 5 16 "[RE] Relaxed" 1 1
2 6 16 "[EX] Excitable" 2 1
2 7 16 NA NA NA
2 8 16 "[RE] Relaxed" 1 1
2 1 17 NA NA NA
2 2 17 "[FR] Friendly" 1 1
2 3 17 "[EX] Excitable" 2 1
2 4 17 NA NA NA
2 5 17 "[RE] Relaxed" 1 1
2 6 17 "[EX] Excitable" 2 1
2 7 17 "[UAV] Uncomfortable Avoids" 5 2
2 8 17 "[RE] Relaxed" 1 1
2 1 18 NA NA NA
2 2 18 NA NA NA
2 3 18 "[FR] Friendly" 1 1
2 4 18 "[UST+] Uncomfortable Static+" 10 3
2 5 18 "[RE] Relaxed" 1 1
2 6 18 "[RE] Relaxed" 1 1
2 7 18 NA NA NA
2 8 18 "[RE] Relaxed" 1 1
2 1 19 NA NA NA
2 2 19 NA NA NA
2 3 19 "[FR] Friendly" 1 1
2 4 19 "[RE] Relaxed" 1 1
2 5 19 "[RE] Relaxed" 1 1
2 6 19 "[EX] Excitable" 2 1
2 7 19 NA NA NA
2 8 19 "[RE] Relaxed" 1 1
2 1 20 NA NA NA
2 2 20 NA NA NA
2 3 20 NA NA NA
2 4 20 NA NA NA
2 5 20 NA NA NA
2 6 20 NA NA NA
2 7 20 NA NA NA
2 8 20 NA NA NA
2 1 21 "[FR] Friendly" 1 1
2 2 21 NA NA NA
2 3 21 NA NA NA
2 4 21 "[EX] Excitable" 2 1
2 5 21 NA NA NA
2 6 21 NA NA NA
2 7 21 "[PL] Playful" 2 1
2 8 21 "[RE] Relaxed" 1 1
2 1 22 NA NA NA
2 2 22 NA NA NA
2 3 22 "[EX] Excitable" 2 1
2 4 22 "[RE] Relaxed" 1 1
2 5 22 "[ST] Stressed" 4 1
2 6 22 "[EX] Excitable" 2 1
2 7 22 NA NA NA
2 8 22 "[RE] Relaxed" 1 1
2 1 23 NA NA NA
2 2 23 NA NA NA
2 3 23 "[EX] Excitable" 2 1
2 4 23 "[EX] Excitable" 2 1
2 5 23 "[VO] Vocal" 2 1
2 6 23 "[EX] Excitable" 2 1
2 7 23 NA NA NA
2 8 23 "[RE] Relaxed" 1 1
2 1 24 NA NA NA
2 2 24 NA NA NA
2 3 24 NA NA NA
2 4 24 NA NA NA
2 5 24 NA NA NA
2 6 24 NA NA NA
2 7 24 NA NA NA
2 8 24 NA NA NA
2 1 25 "[SE] Sexual" 5 2
2 2 25 "[FR] Friendly" 1 1
2 3 25 "[EX] Excitable" 2 1
2 4 25 "[RPA] React to People Aggressive" 11 3
2 5 25 "[ST] Stressed" 4 1
2 6 25 "[RE] Relaxed" 1 1
2 7 25 NA NA NA
2 8 25 "[RPA] React to People Aggressive" 15 3
2 1 26 NA NA NA
2 2 26 NA NA NA
2 3 26 "[FR] Friendly" 1 1
2 4 26 "[UST] Uncomfortable Static" 7 2
2 5 26 "[RE] Relaxed" 1 1
2 6 26 "[EX] Excitable" 2 1
2 7 26 "[PL] Playful" 2 1
2 8 26 "[RE] Relaxed" 1 1
2 1 27 NA NA NA
2 2 27 NA NA NA
2 3 27 NA NA NA
2 4 27 NA NA NA
2 5 27 NA NA NA
2 6 27 NA NA NA
2 7 27 NA NA NA
2 8 27 NA NA NA
2 1 28 NA NA NA
2 2 28 "[FR] Friendly" 1 1
2 3 28 "[FR] Friendly" 1 1
2 4 28 "[EX] Excitable" 2 1
2 5 28 "[RE] Relaxed" 1 1
2 6 28 "[RE] Relaxed" 2 1
2 7 28 NA NA NA
2 8 28 "[PL] Playful" 2 1
2 1 29 "[SE] Sexual" 5 2
2 2 29 "[FR] Friendly" 1 1
2 3 29 "[FR] Friendly" 1 1
2 4 29 "[RE] Relaxed" 1 1
2 5 29 "[ST] Stressed" 4 1
2 6 29 "[RE] Relaxed" 1 1
2 7 29 NA NA NA
2 8 29 "[RE] Relaxed" 1 1
2 1 30 NA NA NA
2 2 30 NA NA NA
2 3 30 NA NA NA
2 4 30 NA NA NA
2 5 30 NA NA NA
2 6 30 NA NA NA
2 7 30 NA NA NA
2 8 30 NA NA NA
2 1 31 NA NA NA
2 2 31 NA NA NA
2 3 31 NA NA NA
2 4 31 NA NA NA
2 5 31 NA NA NA
2 6 31 NA NA NA
2 7 31 NA NA NA
2 8 31 NA NA NA
2 1 32 "[FR] Friendly" 1 1
2 2 32 NA NA NA
2 3 32 "[IN] Independent" 3 1
2 4 32 "[RE] Relaxed" 1 1
2 5 32 "[ST] Stressed" 4 1
2 6 32 "[RE] Relaxed" 1 1
2 7 32 NA NA NA
2 8 32 "[RE] Relaxed" 1 1
2 1 33 NA NA NA
2 2 33 "[FR] Friendly" 1 1
2 3 33 NA NA NA
2 4 33 NA NA NA
2 5 33 "[RE] Relaxed" 1 1
2 6 33 "[FOC] Focused" 8 2
2 7 33 NA NA NA
2 8 33 "[RE] Relaxed" 1 1
2 1 34 NA NA NA
2 2 34 "[EX] Excitable" 2 1
2 3 34 NA NA NA
2 4 34 NA NA NA
2 5 34 NA NA NA
2 6 34 NA NA NA
2 7 34 NA NA NA
2 8 34 NA NA NA
2 1 35 NA NA NA
2 2 35 NA NA NA
2 3 35 "[EX] Excitable" 2 1
2 4 35 "[RE] Relaxed" 1 1
2 5 35 "[RE] Relaxed" 1 1
2 6 35 "[EX] Excitable" 2 1
2 7 35 "[UST] Uncomfortable Static" 6 2
2 8 35 NA NA NA
2 1 36 NA NA NA
2 2 36 NA NA NA
2 3 36 "[EX] Excitable" 2 1
2 4 36 "[RE] Relaxed" 1 1
2 5 36 "[VO] Vocal" 2 1
2 6 36 "[FOC] Focused" 8 2
2 7 36 "[PL] Playful" 2 1
2 8 36 "[EQ] Eats Quickly" 6 2
2 1 37 NA NA NA
2 2 37 "[FR] Friendly" 1 1
2 3 37 NA NA NA
2 4 37 "[RE] Relaxed" 1 1
2 5 37 "[VO] Vocal" 2 1
2 6 37 "[EX] Excitable" 2 1
2 7 37 "[PL] Playful" 2 1
2 8 37 "[RE] Relaxed" 1 1
2 1 38 NA NA NA
2 2 38 NA NA NA
2 3 38 "[FR] Friendly" 1 1
2 4 38 "[EX] Excitable" 2 1
2 5 38 "[VO] Vocal" 2 1
2 6 38 "[EX] Excitable" 2 1
2 7 38 "[PL] Playful" 2 1
2 8 38 "[RE] Relaxed" 1 1
2 1 39 "[SE] Sexual" 5 2
2 2 39 NA NA NA
2 3 39 "[EX] Excitable" 2 1
2 4 39 "[RE] Relaxed" 1 1
2 5 39 "[RPNA] React to People Non-Aggressive" 7 2
2 6 39 "[EX] Excitable" 2 1
2 7 39 "[PL] Playful" 2 1
2 8 39 "[EQ] Eats Quickly" 6 2
2 1 40 NA NA NA
2 2 40 NA NA NA
2 3 40 "[FR] Friendly" 1 1
2 4 40 "[RE] Relaxed" 1 1
2 5 40 "[RDA] React to Dogs Aggressive" 9 3
2 6 40 "[RE] Relaxed" 1 1
2 7 40 "[PL] Playful" 2 1
2 8 40 "[RE] Relaxed" 1 1
2 1 41 NA NA NA
2 2 41 NA NA NA
2 3 41 "[EX] Excitable" 2 1
2 4 41 NA NA NA
2 5 41 "[RDA] React to Dogs Aggressive" 9 3
2 6 41 "[EX] Excitable" 2 1
2 7 41 "[PL] Playful" 2 1
2 8 41 "[EQ] Eats Quickly" 6 2
2 1 42 NA NA NA
2 2 42 NA NA NA
2 3 42 "[EX] Excitable" 2 1
2 4 42 NA NA NA
2 5 42 "[RPNA] React to People Non-Aggressive" 7 2
2 6 42 "[EX] Excitable" 2 1
2 7 42 "[PL] Playful" 2 1
2 8 42 "[PL] Playful" 2 1
2 1 43 NA NA NA
2 2 43 "[IN] Independent" 3 1
2 3 43 "[FR] Friendly" 1 1
2 4 43 "[SUB] Submissive" 3 1
2 5 43 "[RE] Relaxed" 1 1
2 6 43 "[RE] Relaxed" 1 1
2 7 43 "[PL] Playful" 2 1
2 8 43 "[RE] Relaxed" 1 1
2 1 44 NA NA NA
2 2 44 NA NA NA
2 3 44 "[EX] Excitable" 2 1
2 4 44 "[RE] Relaxed" 1 1
2 5 44 "[RDA] React to Dogs Aggressive" 9 3
2 6 44 "[EX] Excitable" 2 1
