"dog_id","length_of_stay","number_of_total_observations","sex","latest_weight","estimated_age_at_departure","neuter_status","source_type","adoption_site"
185,13,52,"Male",3.4,4.093150685,"On Site","Gift","Battersea"
186,15,62,"Male",8.2,3.728767123,"On Site","Gift","Battersea"
187,18,84,"Male",24.5,1.567123288,"On Site","Stray","Brands Hatch"
188,17,93,"Male",9.2,0.7342465753,"On Site","Gift","Old Windsor"
189,20,110,"Female",3.3,4.052054795,"On Site","Gift","Battersea"
190,65,241,"Male",6.5,4.175342466,"Yes","Gift","Old Windsor"
191,32,87,"Male",16.7,2.17260274,"On Site","Gift","Battersea"
192,5,20,"Female",7.6,0.3506849315,"No","Gift","Old Windsor"
193,10,33,"Male",10.9,0.4,"On Site","Gift","Old Windsor"
194,14,64,"Female",11.5,0.8520547945,"On Site","Gift","Old Windsor"
195,12,31,"Female",8.3,0.8109589041,"On Site","Gift","Battersea"
196,16,62,"Female",3.7,0.7506849315,"On Site","Stray","Old Windsor"
197,11,21,"Male",11.2,0.402739726,"On Site","Stray","Battersea"
198,12,42,"Female",7.4,1.452054795,"On Site","Gift","Battersea"
199,42,143,"Male",34.5,6.893150685,"Yes","Gift","Old Windsor"
200,35,88,"Male",48.55,5.090410959,"Yes","Stray","Battersea"
201,12,41,"Female",6.85,0.7726027397,"On Site","Gift","Battersea"
202,11,27,"Female",19.2,0.5671232877,"On Site","Return","Battersea"
203,26,87,"Male",22.3,1.679452055,"Yes","Gift","Old Windsor"
204,28,57,"Male",8.7,8.575342466,"Yes","Gift","Battersea"
205,8,24,"Male",3.6,0.8739726027,"Yes","Gift","Battersea"
206,39,95,"Male",33.2,3.126027397,"Yes","Gift","Battersea"
207,20,49,"Male",6.3,4.052054795,"On Site","Gift","Battersea"
208,14,33,"Male",1.95,4.720547945,"On Site","Gift","Battersea"
209,23,81,"Female",16,1.561643836,"On Site","Stray","Old Windsor"
210,11,26,"Female",16.2,2.309589041,"On Site","Return","Battersea"
211,38,140,"Male",17.5,1.75890411,"On Site","Gift","Old Windsor"
212,10,34,"Female",10.7,4.630136986,"Yes","Gift","Battersea"
213,5,4,"Male",9.7,2.263013699,"Yes","Gift","Battersea"
214,56,177,"Female",18.7,2.336986301,"On Site","Gift","Battersea"
215,19,79,"Female",9.05,2.550684932,"Yes","Gift","Old Windsor"
216,12,64,"Male",13.3,1.484931507,"Yes","Return","Brands Hatch"
217,31,89,"Male",8.6,2.583561644,"On Site","Gift","Battersea"
218,14,89,"Male",13.4,4.18630137,"Yes","Gift","Brands Hatch"
219,15,56,"Male",7,1.539726027,"On Site","Stray","Old Windsor"
220,6,35,"Male",9.8,0.6904109589,"Yes","Return","Brands Hatch"
221,22,53,"Female",16.1,1.55890411,"On Site","Gift","Battersea"
222,6,22,"Male",18.7,0.4383561644,"On Site","Gift","Battersea"
223,18,60,"Female",21,1.547945205,"On Site","Stray","Old Windsor"
224,37,122,"Female",15.1,4.101369863,"On Site","Gift","Battersea"
225,32,123,"Female",19.05,7.553424658,"On Site","Stray","Battersea"
226,12,30,"Female",17.5,0.5698630137,"On Site","Gift","Battersea"
227,22,80,"Female",19.1,0.8849315068,"On Site","Gift","Battersea"
228,23,47,"Female",30.4,4.060273973,"Yes","Gift","Battersea"
229,35,141,"Female",23.1,4.093150685,"On Site","Gift","Battersea"
230,15,32,"Female",31.3,0.7315068493,"On Site","Return","Battersea"
231,15,38,"Male",5.65,6.071232877,"Yes","Gift","Battersea"
232,15,33,"Female",5.2,6.238356164,"Yes","Gift","Battersea"
233,24,75,"Male",7.2,8.01369863,"On Site","Gift","Battersea"
234,24,90,"Male",26.6,5.010958904,"On Site","Gift","Battersea"
235,13,34,"Male",22.65,1.534246575,"On Site","Gift","Battersea"
236,21,55,"Female",7.75,8.556164384,"No","Gift","Battersea"
237,16,50,"Female",7.6,2.991780822,"On Site","Stray","Battersea"
238,11,50,"Female",6.6,6.02739726,"On Site","Gift","Battersea"
239,12,76,"Female",17.7,1.191780822,"Yes","Gift","Battersea"
240,11,35,"Male",7.5,11.44657534,"Yes","Gift","Battersea"
241,10,37,"Male",12.55,1.443835616,"On Site","Stray","Battersea"
