Inference for Stan model: jhb_ordinal_hurdle_model_model
2 chains: each with iter=(5000,5000); warmup=(0,0); thin=(1,1); 10000 iterations saved.

Warmup took (51891, 52317) seconds, 29 hours total
Sampling took (207010, 208747) seconds, 115 hours total

                    Mean     MCSE   StdDev        5%       50%       95%    N_Eff  N_Eff/s    R_hat
z_j[122,1]      -4.5e-02  9.2e-03  8.5e-01  -1.4e+00  -5.9e-02   1.4e+00  8.5e+03  2.0e-02  1.0e+00
z_j[122,2]       4.2e-01  7.7e-03  8.0e-01  -9.1e-01   4.1e-01   1.7e+00  1.1e+04  2.6e-02  1.0e+00
z_j[122,3]       1.0e-01  5.5e-03  4.6e-01  -6.6e-01   1.1e-01   8.6e-01  7.1e+03  1.7e-02  1.0e+00
z_j[122,4]      -4.6e-01  7.0e-03  9.0e-01  -1.9e+00  -4.6e-01   1.0e+00  1.6e+04  3.9e-02  1.0e+00
z_j[122,5]       2.3e-01  7.0e-03  9.6e-01  -1.3e+00   2.1e-01   1.8e+00  1.9e+04  4.5e-02  1.0e+00
z_j[122,6]      -1.9e-01  6.6e-03  7.9e-01  -1.5e+00  -1.9e-01   1.1e+00  1.4e+04  3.5e-02  1.0e+00
z_j[123,1]       2.2e-01  1.2e-02  7.9e-01  -1.1e+00   2.3e-01   1.5e+00  4.0e+03  9.7e-03  1.0e+00
z_j[123,2]       9.0e-01  1.4e-02  8.3e-01  -4.6e-01   9.0e-01   2.3e+00  3.5e+03  8.5e-03  1.0e+00
z_j[123,3]      -4.5e-02  8.9e-03  4.7e-01  -8.4e-01  -4.6e-02   7.2e-01  2.8e+03  6.8e-03  1.0e+00
z_j[123,4]       1.3e+00  7.7e-03  7.7e-01  -3.7e-03   1.3e+00   2.5e+00  1.0e+04  2.4e-02  1.0e+00
z_j[123,5]       5.0e-01  7.2e-03  7.7e-01  -7.9e-01   5.1e-01   1.8e+00  1.2e+04  2.8e-02  1.0e+00
z_j[123,6]      -3.2e-02  6.7e-03  9.8e-01  -1.6e+00  -2.4e-02   1.6e+00  2.1e+04  5.2e-02  1.0e+00
z_j[124,1]       9.7e-01  1.4e-02  8.6e-01  -4.8e-01   9.8e-01   2.4e+00  4.0e+03  9.7e-03  1.0e+00
z_j[124,2]       3.4e-01  1.5e-02  8.2e-01  -1.0e+00   3.4e-01   1.7e+00  3.0e+03  7.3e-03  1.0e+00
z_j[124,3]       1.1e+00  1.1e-02  4.6e-01   3.0e-01   1.1e+00   1.8e+00  1.7e+03  4.1e-03  1.0e+00
z_j[124,4]      -2.2e-01  1.4e-02  8.7e-01  -1.6e+00  -2.1e-01   1.2e+00  3.9e+03  9.4e-03  1.0e+00
z_j[124,5]      -8.8e-02  1.6e-02  1.0e+00  -1.8e+00  -9.2e-02   1.6e+00  4.5e+03  1.1e-02  1.0e+00
z_j[124,6]      -1.5e+00  1.0e-02  8.1e-01  -2.8e+00  -1.6e+00  -1.7e-01  6.1e+03  1.5e-02  1.0e+00
z_j[125,1]       1.1e-01  8.9e-03  8.8e-01  -1.3e+00   1.1e-01   1.6e+00  9.7e+03  2.3e-02  1.0e+00
z_j[125,2]      -1.0e-01  8.7e-03  7.9e-01  -1.4e+00  -1.1e-01   1.2e+00  8.2e+03  2.0e-02  1.0e+00
z_j[125,3]       4.7e-01  5.0e-03  4.4e-01  -2.7e-01   4.6e-01   1.2e+00  7.7e+03  1.8e-02  1.0e+00
z_j[125,4]       3.1e-01  7.5e-03  7.7e-01  -9.8e-01   3.2e-01   1.6e+00  1.1e+04  2.5e-02  1.0e+00
z_j[125,5]       9.1e-01  7.1e-03  8.1e-01  -4.4e-01   9.1e-01   2.2e+00  1.3e+04  3.1e-02  1.0e+00
z_j[125,6]      -2.1e-01  6.7e-03  9.1e-01  -1.7e+00  -1.8e-01   1.2e+00  1.9e+04  4.5e-02  1.0e+00
z_j[126,1]      -6.5e-01  1.3e-02  9.4e-01  -2.2e+00  -6.7e-01   9.3e-01  5.6e+03  1.3e-02  1.0e+00
z_j[126,2]       1.0e+00  1.0e-02  8.6e-01  -3.5e-01   1.0e+00   2.4e+00  6.9e+03  1.7e-02  1.0e+00
z_j[126,3]       3.8e-01  6.6e-03  4.8e-01  -4.2e-01   3.9e-01   1.2e+00  5.4e+03  1.3e-02  1.0e+00
z_j[126,4]      -4.1e-01  7.5e-03  8.9e-01  -1.9e+00  -3.9e-01   1.0e+00  1.4e+04  3.4e-02  1.0e+00
z_j[126,5]      -5.9e-03  6.5e-03  9.6e-01  -1.6e+00   2.9e-03   1.6e+00  2.2e+04  5.3e-02  1.0e+00
z_j[126,6]      -7.6e-02  6.5e-03  9.7e-01  -1.7e+00  -6.8e-02   1.5e+00  2.2e+04  5.4e-02  1.0e+00
z_j[127,1]       4.9e-01  8.5e-03  7.1e-01  -7.1e-01   4.9e-01   1.7e+00  7.1e+03  1.7e-02  1.0e+00
z_j[127,2]       2.6e-02  8.6e-03  7.0e-01  -1.1e+00   2.3e-02   1.2e+00  6.7e+03  1.6e-02  1.0e+00
z_j[127,3]       8.7e-01  5.9e-03  3.8e-01   2.5e-01   8.7e-01   1.5e+00  4.2e+03  1.0e-02  1.0e+00
z_j[127,4]      -7.6e-01  6.7e-03  8.6e-01  -2.2e+00  -7.5e-01   6.2e-01  1.6e+04  3.9e-02  1.0e+00
z_j[127,5]       2.5e-01  6.5e-03  8.9e-01  -1.2e+00   2.4e-01   1.7e+00  1.9e+04  4.6e-02  1.0e+00
z_j[127,6]      -1.4e-02  7.1e-03  1.0e+00  -1.7e+00  -3.9e-03   1.6e+00  2.0e+04  4.7e-02  1.0e+00
z_j[128,1]       6.9e-01  8.3e-03  7.5e-01  -5.2e-01   6.9e-01   1.9e+00  8.0e+03  1.9e-02  1.0e+00
z_j[128,2]       1.4e-01  8.1e-03  7.3e-01  -1.0e+00   1.3e-01   1.3e+00  7.9e+03  1.9e-02  1.0e+00
z_j[128,3]      -1.7e-01  7.0e-03  4.0e-01  -8.4e-01  -1.7e-01   4.7e-01  3.2e+03  7.7e-03  1.0e+00
z_j[128,4]       4.7e-01  8.0e-03  7.3e-01  -7.3e-01   4.7e-01   1.6e+00  8.2e+03  2.0e-02  1.0e+00
z_j[128,5]       2.5e-01  6.7e-03  6.9e-01  -8.9e-01   2.4e-01   1.4e+00  1.1e+04  2.6e-02  1.0e+00
z_j[128,6]      -7.4e-02  7.0e-03  9.6e-01  -1.7e+00  -5.0e-02   1.5e+00  1.8e+04  4.4e-02  1.0e+00
z_j[129,1]      -1.4e-01  1.3e-02  8.0e-01  -1.5e+00  -1.4e-01   1.1e+00  4.1e+03  9.8e-03  1.0e+00
z_j[129,2]       9.1e-01  1.3e-02  8.0e-01  -4.4e-01   9.3e-01   2.2e+00  3.6e+03  8.7e-03  1.0e+00
z_j[129,3]       1.2e+00  6.3e-03  4.4e-01   4.7e-01   1.2e+00   1.9e+00  4.9e+03  1.2e-02  1.0e+00
z_j[129,4]      -8.3e-02  1.1e-02  9.5e-01  -1.7e+00  -8.5e-02   1.5e+00  8.0e+03  1.9e-02  1.0e+00
z_j[129,5]       5.9e-01  9.3e-03  9.4e-01  -9.7e-01   6.0e-01   2.1e+00  1.0e+04  2.4e-02  1.0e+00
z_j[129,6]       9.1e-01  7.6e-03  7.9e-01  -4.0e-01   9.1e-01   2.2e+00  1.1e+04  2.6e-02  1.0e+00
z_j[130,1]       2.5e-01  9.6e-03  8.5e-01  -1.1e+00   2.6e-01   1.7e+00  7.8e+03  1.9e-02  1.0e+00
z_j[130,2]      -4.0e-01  9.9e-03  7.9e-01  -1.7e+00  -4.0e-01   9.0e-01  6.4e+03  1.5e-02  1.0e+00
z_j[130,3]       6.3e-01  5.3e-03  4.3e-01  -7.2e-02   6.3e-01   1.3e+00  6.4e+03  1.5e-02  1.0e+00
z_j[130,4]       5.0e-01  7.1e-03  7.5e-01  -7.6e-01   5.1e-01   1.7e+00  1.1e+04  2.7e-02  1.0e+00
z_j[130,5]      -1.2e-01  6.3e-03  7.8e-01  -1.4e+00  -1.2e-01   1.2e+00  1.5e+04  3.7e-02  1.0e+00
z_j[130,6]      -7.5e-02  7.1e-03  9.5e-01  -1.7e+00  -6.6e-02   1.5e+00  1.8e+04  4.2e-02  1.0e+00
z_j[131,1]       7.0e-01  1.7e-02  9.1e-01  -8.0e-01   7.1e-01   2.2e+00  3.0e+03  7.3e-03  1.0e+00
z_j[131,2]       6.9e-01  1.5e-02  8.4e-01  -7.0e-01   6.9e-01   2.1e+00  3.4e+03  8.1e-03  1.0e+00
z_j[131,3]      -1.5e-01  1.0e-02  4.7e-01  -9.6e-01  -1.3e-01   6.1e-01  2.1e+03  5.0e-03  1.0e+00
z_j[131,4]      -8.9e-01  1.6e-02  9.6e-01  -2.5e+00  -9.0e-01   7.1e-01  3.5e+03  8.5e-03  1.0e+00
z_j[131,5]      -3.6e-01  1.5e-02  1.1e+00  -2.2e+00  -3.6e-01   1.4e+00  5.0e+03  1.2e-02  1.0e+00
z_j[131,6]      -1.6e+00  1.1e-02  8.1e-01  -2.9e+00  -1.7e+00  -2.3e-01  5.1e+03  1.2e-02  1.0e+00
z_j[132,1]       4.2e-01  8.6e-03  6.5e-01  -6.6e-01   4.2e-01   1.5e+00  5.8e+03  1.4e-02  1.0e+00
z_j[132,2]       1.3e-01  6.7e-03  6.1e-01  -8.7e-01   1.3e-01   1.1e+00  8.2e+03  2.0e-02  1.0e+00
z_j[132,3]      -4.4e-01  5.6e-03  3.6e-01  -1.0e+00  -4.5e-01   1.6e-01  4.2e+03  1.0e-02  1.0e+00
z_j[132,4]      -4.4e-01  7.1e-03  9.0e-01  -1.9e+00  -4.4e-01   1.0e+00  1.6e+04  3.8e-02  1.0e+00
z_j[132,5]       2.6e-01  6.9e-03  9.7e-01  -1.3e+00   2.6e-01   1.9e+00  2.0e+04  4.7e-02  1.0e+00
z_j[132,6]       2.9e-02  7.0e-03  7.7e-01  -1.2e+00   3.0e-02   1.3e+00  1.2e+04  2.9e-02  1.0e+00
z_j[133,1]      -8.2e-02  1.0e-02  8.5e-01  -1.5e+00  -8.5e-02   1.3e+00  7.2e+03  1.7e-02  1.0e+00
z_j[133,2]       2.1e-01  1.0e-02  8.2e-01  -1.1e+00   2.2e-01   1.5e+00  6.3e+03  1.5e-02  1.0e+00
z_j[133,3]       1.0e+00  7.8e-03  4.9e-01   2.3e-01   1.0e+00   1.8e+00  4.0e+03  9.5e-03  1.0e+00
z_j[133,4]      -7.2e-01  6.9e-03  8.6e-01  -2.1e+00  -7.0e-01   7.0e-01  1.6e+04  3.8e-02  1.0e+00
z_j[133,5]       6.2e-02  6.2e-03  8.9e-01  -1.4e+00   7.5e-02   1.5e+00  2.1e+04  5.0e-02  1.0e+00
z_j[133,6]      -6.5e-02  6.8e-03  9.7e-01  -1.7e+00  -5.1e-02   1.5e+00  2.0e+04  4.9e-02  1.0e+00
z_j[134,1]      -9.2e-02  7.7e-03  7.8e-01  -1.4e+00  -9.1e-02   1.2e+00  1.0e+04  2.5e-02  1.0e+00
z_j[134,2]      -1.9e-01  7.9e-03  7.6e-01  -1.4e+00  -2.0e-01   1.1e+00  9.3e+03  2.2e-02  1.0e+00
z_j[134,3]       8.9e-02  5.4e-03  4.1e-01  -5.7e-01   8.6e-02   7.6e-01  5.8e+03  1.4e-02  1.0e+00
z_j[134,4]      -5.2e-01  7.0e-03  8.3e-01  -1.9e+00  -5.1e-01   8.4e-01  1.4e+04  3.3e-02  1.0e+00
z_j[134,5]      -3.7e-01  7.0e-03  8.6e-01  -1.8e+00  -3.7e-01   1.0e+00  1.5e+04  3.6e-02  1.0e+00
z_j[134,6]      -3.5e-02  6.8e-03  9.8e-01  -1.7e+00  -3.5e-02   1.6e+00  2.0e+04  4.9e-02  1.0e+00
z_j[135,1]      -3.0e-01  7.8e-03  8.7e-01  -1.7e+00  -3.0e-01   1.1e+00  1.3e+04  3.0e-02  1.0e+00
z_j[135,2]       3.5e-01  8.0e-03  8.5e-01  -1.1e+00   3.4e-01   1.7e+00  1.1e+04  2.7e-02  1.0e+00
z_j[135,3]       6.6e-01  6.9e-03  5.0e-01  -1.6e-01   6.5e-01   1.5e+00  5.1e+03  1.2e-02  1.0e+00
z_j[135,4]       1.0e-01  7.0e-03  7.9e-01  -1.2e+00   1.0e-01   1.4e+00  1.3e+04  3.1e-02  1.0e+00
z_j[135,5]       1.8e-01  5.8e-03  7.6e-01  -1.1e+00   1.8e-01   1.4e+00  1.7e+04  4.0e-02  1.0e+00
z_j[135,6]      -1.0e-01  6.9e-03  9.3e-01  -1.6e+00  -9.1e-02   1.4e+00  1.8e+04  4.4e-02  1.0e+00
z_j[136,1]      -1.8e-01  7.6e-03  8.7e-01  -1.6e+00  -1.9e-01   1.3e+00  1.3e+04  3.2e-02  1.0e+00
z_j[136,2]       2.0e-01  8.0e-03  7.9e-01  -1.1e+00   2.1e-01   1.5e+00  9.7e+03  2.3e-02  1.0e+00
z_j[136,3]       1.5e-01  5.0e-03  4.5e-01  -5.8e-01   1.5e-01   8.6e-01  8.0e+03  1.9e-02  1.0e+00
z_j[136,4]      -4.5e-01  6.7e-03  8.2e-01  -1.8e+00  -4.4e-01   8.9e-01  1.5e+04  3.7e-02  1.0e+00
z_j[136,5]      -3.3e-01  7.1e-03  9.2e-01  -1.8e+00  -3.3e-01   1.2e+00  1.7e+04  4.0e-02  1.0e+00
z_j[136,6]      -2.7e-02  7.2e-03  9.8e-01  -1.7e+00  -2.0e-02   1.5e+00  1.9e+04  4.5e-02  1.0e+00
z_j[137,1]      -4.0e-01  1.4e-02  9.7e-01  -2.0e+00  -3.9e-01   1.2e+00  4.7e+03  1.1e-02  1.0e+00
z_j[137,2]       9.0e-01  1.2e-02  9.1e-01  -5.9e-01   9.0e-01   2.4e+00  6.0e+03  1.4e-02  1.0e+00
z_j[137,3]       1.1e+00  8.4e-03  5.7e-01   1.5e-01   1.1e+00   2.1e+00  4.6e+03  1.1e-02  1.0e+00
z_j[137,4]      -5.0e-01  7.5e-03  8.5e-01  -1.9e+00  -4.9e-01   8.8e-01  1.3e+04  3.1e-02  1.0e+00
z_j[137,5]      -2.5e-01  6.5e-03  8.5e-01  -1.6e+00  -2.4e-01   1.1e+00  1.7e+04  4.0e-02  1.0e+00
z_j[137,6]      -6.4e-02  6.8e-03  9.7e-01  -1.7e+00  -4.8e-02   1.5e+00  2.1e+04  5.0e-02  1.0e+00
z_j[138,1]      -2.9e-02  8.9e-03  8.9e-01  -1.5e+00  -3.2e-02   1.4e+00  9.9e+03  2.4e-02  1.0e+00
z_j[138,2]      -1.0e-01  8.7e-03  8.1e-01  -1.4e+00  -1.1e-01   1.2e+00  8.7e+03  2.1e-02  1.0e+00
z_j[138,3]      -4.4e-01  5.1e-03  4.4e-01  -1.2e+00  -4.4e-01   2.8e-01  7.5e+03  1.8e-02  1.0e+00
z_j[138,4]      -7.7e-01  6.8e-03  8.5e-01  -2.2e+00  -7.5e-01   6.0e-01  1.5e+04  3.7e-02  1.0e+00
z_j[138,5]       1.4e-01  6.7e-03  9.0e-01  -1.3e+00   1.5e-01   1.6e+00  1.8e+04  4.4e-02  1.0e+00
z_j[138,6]      -6.7e-02  6.9e-03  9.6e-01  -1.7e+00  -6.0e-02   1.5e+00  1.9e+04  4.6e-02  1.0e+00
z_j[139,1]      -5.0e-01  1.6e-02  9.5e-01  -2.0e+00  -5.1e-01   1.1e+00  3.4e+03  8.1e-03  1.0e+00
z_j[139,2]       1.0e+00  1.4e-02  8.7e-01  -4.6e-01   1.0e+00   2.4e+00  3.7e+03  9.0e-03  1.0e+00
z_j[139,3]       1.3e+00  6.6e-03  4.7e-01   4.9e-01   1.3e+00   2.0e+00  5.0e+03  1.2e-02  1.0e+00
z_j[139,4]       5.5e-01  7.7e-03  7.8e-01  -7.5e-01   5.6e-01   1.8e+00  1.0e+04  2.5e-02  1.0e+00
z_j[139,5]       1.0e+00  6.7e-03  8.1e-01  -3.1e-01   9.9e-01   2.3e+00  1.4e+04  3.5e-02  1.0e+00
z_j[139,6]      -1.6e-01  6.4e-03  9.4e-01  -1.7e+00  -1.3e-01   1.4e+00  2.1e+04  5.1e-02  1.0e+00
z_j[140,1]       8.1e-01  2.0e-02  8.5e-01  -6.2e-01   8.1e-01   2.2e+00  1.7e+03  4.2e-03  1.0e+00
z_j[140,2]      -1.8e+00  1.4e-02  7.6e-01  -3.0e+00  -1.8e+00  -4.9e-01  3.0e+03  7.1e-03  1.0e+00
z_j[140,3]       9.9e-02  1.0e-02  4.8e-01  -6.6e-01   8.6e-02   9.0e-01  2.1e+03  5.0e-03  1.0e+00
z_j[140,4]       7.6e-01  8.1e-03  8.4e-01  -6.3e-01   7.8e-01   2.1e+00  1.1e+04  2.6e-02  1.0e+00
z_j[140,5]      -5.4e-01  7.7e-03  9.1e-01  -2.0e+00  -5.6e-01   9.7e-01  1.4e+04  3.3e-02  1.0e+00
z_j[140,6]       1.9e-02  8.9e-03  8.0e-01  -1.3e+00   2.6e-02   1.3e+00  8.0e+03  1.9e-02  1.0e+00
z_j[141,1]      -8.9e-02  1.4e-02  9.0e-01  -1.6e+00  -8.4e-02   1.4e+00  4.4e+03  1.0e-02  1.0e+00
z_j[141,2]       9.7e-01  9.7e-03  8.1e-01  -3.7e-01   9.7e-01   2.3e+00  7.1e+03  1.7e-02  1.0e+00
z_j[141,3]       1.8e-01  7.5e-03  4.8e-01  -6.1e-01   1.9e-01   9.4e-01  4.0e+03  9.7e-03  1.0e+00
z_j[141,4]       1.7e-01  9.0e-03  8.5e-01  -1.2e+00   1.8e-01   1.5e+00  9.0e+03  2.2e-02  1.0e+00
z_j[141,5]      -1.8e-01  8.1e-03  9.8e-01  -1.8e+00  -1.7e-01   1.4e+00  1.5e+04  3.5e-02  1.0e+00
z_j[141,6]      -7.4e-01  7.9e-03  7.9e-01  -2.0e+00  -7.4e-01   5.6e-01  9.8e+03  2.4e-02  1.0e+00
z_j[142,1]      -9.5e-01  8.7e-03  7.1e-01  -2.2e+00  -9.3e-01   1.9e-01  6.7e+03  1.6e-02  1.0e+00
z_j[142,2]       7.8e-01  1.1e-02  7.1e-01  -4.1e-01   7.9e-01   1.9e+00  3.8e+03  9.2e-03  1.0e+00
z_j[142,3]      -5.1e-01  6.7e-03  3.8e-01  -1.2e+00  -5.1e-01   1.0e-01  3.2e+03  7.8e-03  1.0e+00
z_j[142,4]      -8.2e-02  8.4e-03  9.4e-01  -1.6e+00  -7.0e-02   1.5e+00  1.3e+04  3.0e-02  1.0e+00
z_j[142,5]       2.9e-01  7.9e-03  9.5e-01  -1.3e+00   3.0e-01   1.9e+00  1.4e+04  3.4e-02  1.0e+00
z_j[142,6]       4.7e-01  7.2e-03  7.8e-01  -8.2e-01   4.7e-01   1.7e+00  1.2e+04  2.8e-02  1.0e+00
z_j[143,1]      -2.5e-01  1.2e-02  7.7e-01  -1.5e+00  -2.5e-01   1.0e+00  4.0e+03  9.5e-03  1.0e+00
z_j[143,2]      -1.0e+00  1.2e-02  7.6e-01  -2.3e+00  -1.0e+00   2.2e-01  4.2e+03  1.0e-02  1.0e+00
z_j[143,3]       6.2e-01  9.0e-03  4.1e-01  -3.9e-02   6.2e-01   1.3e+00  2.1e+03  5.1e-03  1.0e+00
z_j[143,4]      -5.3e-01  6.7e-03  8.6e-01  -2.0e+00  -5.3e-01   8.7e-01  1.6e+04  3.9e-02  1.0e+00
z_j[143,5]      -3.8e-02  6.8e-03  9.7e-01  -1.6e+00  -4.2e-02   1.6e+00  2.0e+04  4.9e-02  1.0e+00
z_j[143,6]      -2.4e-02  7.0e-03  9.9e-01  -1.7e+00  -2.2e-02   1.6e+00  2.0e+04  4.8e-02  1.0e+00
z_j[144,1]      -5.2e-01  9.8e-03  8.9e-01  -2.0e+00  -5.3e-01   9.5e-01  8.3e+03  2.0e-02  1.0e+00
z_j[144,2]       6.4e-01  9.4e-03  8.4e-01  -7.3e-01   6.5e-01   2.0e+00  8.0e+03  1.9e-02  1.0e+00
z_j[144,3]      -5.4e-02  5.4e-03  4.4e-01  -8.0e-01  -4.7e-02   6.6e-01  6.8e+03  1.6e-02  1.0e+00
z_j[144,4]       5.8e-02  7.8e-03  8.2e-01  -1.3e+00   6.1e-02   1.4e+00  1.1e+04  2.7e-02  1.0e+00
z_j[144,5]      -8.8e-01  6.7e-03  7.9e-01  -2.2e+00  -8.9e-01   4.3e-01  1.4e+04  3.3e-02  1.0e+00
z_j[144,6]      -1.5e-02  6.7e-03  9.7e-01  -1.6e+00  -4.7e-03   1.6e+00  2.1e+04  5.0e-02  1.0e+00
z_j[145,1]      -8.5e-01  1.5e-02  9.6e-01  -2.4e+00  -8.5e-01   7.4e-01  4.0e+03  9.7e-03  1.0e+00
z_j[145,2]       6.5e-01  1.7e-02  9.3e-01  -8.7e-01   6.6e-01   2.2e+00  3.1e+03  7.5e-03  1.0e+00
z_j[145,3]       1.9e+00  7.6e-03  5.4e-01   9.9e-01   1.9e+00   2.8e+00  5.0e+03  1.2e-02  1.0e+00
z_j[145,4]       5.3e-02  9.2e-03  8.5e-01  -1.3e+00   6.1e-02   1.4e+00  8.4e+03  2.0e-02  1.0e+00
z_j[145,5]      -3.2e-01  9.4e-03  8.9e-01  -1.8e+00  -3.2e-01   1.2e+00  8.9e+03  2.1e-02  1.0e+00
z_j[145,6]       9.0e-01  8.1e-03  8.6e-01  -5.8e-01   9.3e-01   2.3e+00  1.1e+04  2.7e-02  1.0e+00
z_j[146,1]      -4.7e-01  1.6e-02  8.3e-01  -1.8e+00  -4.7e-01   8.9e-01  2.5e+03  6.1e-03  1.0e+00
z_j[146,2]      -1.3e+00  1.3e-02  7.5e-01  -2.5e+00  -1.3e+00  -3.5e-02  3.6e+03  8.6e-03  1.0e+00
z_j[146,3]       1.1e+00  1.1e-02  4.2e-01   3.9e-01   1.1e+00   1.8e+00  1.6e+03  3.8e-03  1.0e+00
z_j[146,4]       1.0e+00  9.6e-03  7.4e-01  -2.2e-01   1.0e+00   2.2e+00  6.0e+03  1.4e-02  1.0e+00
z_j[146,5]       1.5e+00  7.9e-03  8.2e-01   1.6e-01   1.5e+00   2.8e+00  1.1e+04  2.6e-02  1.0e+00
z_j[146,6]      -3.2e-01  7.3e-03  9.0e-01  -1.8e+00  -3.1e-01   1.1e+00  1.5e+04  3.6e-02  1.0e+00
z_j[147,1]      -2.5e-01  9.0e-03  8.6e-01  -1.7e+00  -2.4e-01   1.2e+00  9.1e+03  2.2e-02  1.0e+00
z_j[147,2]       3.9e-01  8.8e-03  7.9e-01  -9.1e-01   3.9e-01   1.7e+00  8.1e+03  1.9e-02  1.0e+00
z_j[147,3]       2.5e-01  5.2e-03  4.3e-01  -4.7e-01   2.5e-01   9.4e-01  6.9e+03  1.7e-02  1.0e+00
z_j[147,4]       6.2e-01  7.2e-03  7.3e-01  -6.0e-01   6.3e-01   1.8e+00  1.0e+04  2.5e-02  1.0e+00
z_j[147,5]      -3.8e-01  6.4e-03  7.1e-01  -1.6e+00  -3.8e-01   7.9e-01  1.2e+04  3.0e-02  1.0e+00
z_j[147,6]      -7.2e-02  7.2e-03  9.8e-01  -1.7e+00  -5.8e-02   1.5e+00  1.9e+04  4.5e-02  1.0e+00
z_j[148,1]      -9.2e-02  9.7e-03  7.6e-01  -1.3e+00  -9.7e-02   1.2e+00  6.2e+03  1.5e-02  1.0e+00
z_j[148,2]      -4.0e-01  8.1e-03  7.1e-01  -1.6e+00  -4.0e-01   7.7e-01  7.7e+03  1.9e-02  1.0e+00
z_j[148,3]       7.5e-01  6.9e-03  4.2e-01   5.8e-02   7.5e-01   1.4e+00  3.7e+03  8.9e-03  1.0e+00
z_j[148,4]       6.1e-01  7.6e-03  7.4e-01  -6.1e-01   6.1e-01   1.8e+00  9.5e+03  2.3e-02  1.0e+00
z_j[148,5]       5.3e-01  7.2e-03  7.8e-01  -7.1e-01   5.3e-01   1.8e+00  1.2e+04  2.8e-02  1.0e+00
z_j[148,6]      -7.5e-02  6.9e-03  9.7e-01  -1.7e+00  -5.8e-02   1.5e+00  2.0e+04  4.8e-02  1.0e+00
z_j[149,1]      -2.0e-01  8.0e-03  7.5e-01  -1.4e+00  -2.0e-01   1.0e+00  8.8e+03  2.1e-02  1.0e+00
z_j[149,2]       4.9e-02  6.8e-03  7.4e-01  -1.2e+00   4.6e-02   1.3e+00  1.2e+04  2.8e-02  1.0e+00
z_j[149,3]      -1.9e-01  4.9e-03  3.8e-01  -8.2e-01  -1.9e-01   4.4e-01  6.1e+03  1.5e-02  1.0e+00
z_j[149,4]      -1.7e-01  7.0e-03  7.8e-01  -1.5e+00  -1.6e-01   1.1e+00  1.2e+04  3.0e-02  1.0e+00
z_j[149,5]       3.4e-01  6.9e-03  9.0e-01  -1.1e+00   3.4e-01   1.8e+00  1.7e+04  4.1e-02  1.0e+00
z_j[149,6]      -6.2e-02  6.6e-03  9.9e-01  -1.7e+00  -4.4e-02   1.5e+00  2.3e+04  5.4e-02  1.0e+00
z_j[150,1]       4.0e-01  1.1e-02  8.8e-01  -1.1e+00   4.1e-01   1.8e+00  5.9e+03  1.4e-02  1.0e+00
z_j[150,2]      -6.3e-01  1.1e-02  8.0e-01  -1.9e+00  -6.4e-01   6.9e-01  5.0e+03  1.2e-02  1.0e+00
z_j[150,3]      -6.9e-01  5.6e-03  4.3e-01  -1.4e+00  -7.0e-01   3.1e-02  5.9e+03  1.4e-02  1.0e+00
z_j[150,4]      -6.8e-01  6.4e-03  8.5e-01  -2.1e+00  -6.6e-01   6.9e-01  1.8e+04  4.2e-02  1.0e+00
z_j[150,5]       4.0e-02  6.9e-03  9.6e-01  -1.5e+00   3.9e-02   1.6e+00  1.9e+04  4.7e-02  1.0e+00
z_j[150,6]      -2.1e-02  6.4e-03  1.0e+00  -1.7e+00  -2.5e-02   1.6e+00  2.4e+04  5.8e-02  1.0e+00
z_j[151,1]       1.2e-02  1.0e-02  8.8e-01  -1.4e+00  -1.7e-03   1.5e+00  7.6e+03  1.8e-02  1.0e+00
z_j[151,2]       4.9e-01  9.1e-03  8.1e-01  -8.4e-01   4.9e-01   1.8e+00  8.0e+03  1.9e-02  1.0e+00
z_j[151,3]       1.0e+00  5.2e-03  4.5e-01   3.0e-01   1.1e+00   1.8e+00  7.2e+03  1.7e-02  1.0e+00
z_j[151,4]      -1.2e-01  7.0e-03  8.2e-01  -1.5e+00  -1.2e-01   1.2e+00  1.4e+04  3.3e-02  1.0e+00
z_j[151,5]      -4.7e-01  7.4e-03  9.0e-01  -1.9e+00  -4.7e-01   1.0e+00  1.5e+04  3.6e-02  1.0e+00
z_j[151,6]      -1.2e-01  7.2e-03  9.5e-01  -1.7e+00  -9.8e-02   1.4e+00  1.7e+04  4.1e-02  1.0e+00
z_j[152,1]      -1.9e-01  1.0e-02  8.7e-01  -1.6e+00  -1.9e-01   1.2e+00  7.0e+03  1.7e-02  1.0e+00
z_j[152,2]      -2.9e-01  1.0e-02  8.3e-01  -1.7e+00  -2.9e-01   1.1e+00  6.8e+03  1.6e-02  1.0e+00
z_j[152,3]      -1.1e+00  8.1e-03  5.4e-01  -2.0e+00  -1.1e+00  -2.5e-01  4.5e+03  1.1e-02  1.0e+00
z_j[152,4]      -6.0e-01  6.7e-03  8.8e-01  -2.0e+00  -6.0e-01   8.2e-01  1.7e+04  4.1e-02  1.0e+00
z_j[152,5]      -5.5e-03  7.0e-03  9.9e-01  -1.6e+00  -2.0e-02   1.6e+00  2.0e+04  4.7e-02  1.0e+00
z_j[152,6]      -2.6e-02  6.8e-03  1.0e+00  -1.7e+00  -2.2e-02   1.6e+00  2.2e+04  5.2e-02  1.0e+00
